	|8
 |28
<EOS>|3
<GO>|2
<PAD>|0
<UNK>|1
 |84
«|74
­|40
°|5
´|110
»|30
έ|69
ί|112
α|47
γ|80
ε|7
θ|51
ι|36
κ|35
μ|54
ν|63
ο|114
π|116
ρ|26
σ|27
τ|78
υ|20
χ|14
ψ|12
ω|89
ό|77
ώ|103
ו|64
؛|17
؟|101
ء|120
آ|15
أ|73
ؤ|50
إ|119
ئ|56
ا|68
ب|118
ة|107
ت|22
ث|71
ج|59
ح|86
خ|19
د|104
ذ|97
ر|65
ز|92
س|82
ش|18
ص|75
ض|111
ط|93
ظ|11
ع|95
غ|24
ـ|9
ف|46
ق|38
ك|72
ل|29
م|48
ن|81
ه|49
و|6
ى|39
ي|70
٪|91
ٰ|45
ٱ|67
ی|105
ے|37
۵|109
۷|106
۸|10
​|52
‍|31
‎|117
‏|60
–|42
‘|34
’|41
“|55
”|85
•|62
…|23
‫|94
‬|108
‰|115
ﮐ|53
﴾|44
﴿|25
ﺁ|16
ﺂ|96
ﺃ|87
ﺄ|61
ﺇ|57
ﺈ|58
ﺋ|100
ﺌ|90
ﺑ|32
ﺒ|113
ﺔ|76
ﻓ|33
ﻛ|13
ﻟ|99
ﻠ|66
ﻣ|43
ﻧ|102
ﻴ|88
ﻵ|83
ﻷ|98
ﻹ|21
ﻻ|79
